Fluency,Accent,Listening,Vocab,Grammar,grade
5 ,6 ,7 ,6 ,8 ,D
9 ,7 ,12 ,11 ,12 ,B
5 ,4 ,7 ,6 ,6 ,F
12 ,12 ,15 ,13 ,14 ,A
6 ,5 ,8 ,7 ,6 ,D
9 ,8 ,13 ,8 ,11 ,C
7 ,9 ,12 ,7 ,13 ,C
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
16 ,14 ,12 ,15 ,13 ,A
9 ,7 ,12 ,11 ,12 ,B
5 ,4 ,7 ,6 ,6 ,F
12 ,12 ,15 ,13 ,14 ,A
4 ,3 ,4 ,5 ,4 ,F
9 ,7 ,8 ,7 ,9 ,C
1 ,1 ,2 ,1 ,1 ,F
3 ,4 ,3 ,4 ,2 ,F
7 ,9 ,7 ,8 ,9 ,C
12 ,13 ,12 ,14 ,2 ,B
14 ,14 ,14 ,13 ,12 ,A
15 ,16 ,17 ,15 ,14 ,A
4 ,5 ,4 ,3 ,4 ,F
8 ,9 ,8 ,9 ,9 ,C
12 ,13 ,14 ,13 ,12 ,A
15 ,16 ,15 ,16 ,17 ,A
7 ,8 ,7 ,7 ,8 ,D
2 ,3 ,2 ,2 ,3 ,F
4 ,3 ,4 ,5 ,4 ,F
9 ,7 ,8 ,7 ,9 ,C
1 ,1 ,2 ,1 ,1 ,F
3 ,4 ,3 ,4 ,2 ,F
7 ,9 ,7 ,8 ,9 ,C
12 ,13 ,12 ,14 ,2 ,B
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
16 ,14 ,12 ,15 ,13 ,A
9 ,7 ,12 ,11 ,12 ,B
5 ,4 ,7 ,6 ,6 ,F
9 ,7 ,12 ,11 ,12 ,B
5 ,4 ,7 ,6 ,6 ,F
12 ,12 ,15 ,13 ,14 ,A
6 ,5 ,8 ,7 ,6 ,D
9 ,8 ,13 ,8 ,11 ,C
7 ,9 ,7 ,8 ,9 ,C
12 ,13 ,12 ,14 ,2 ,B
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
16 ,14 ,12 ,15 ,13 ,A
9 ,7 ,12 ,11 ,12 ,B
4 ,3 ,4 ,5 ,4 ,F
9 ,7 ,8 ,7 ,9 ,C
1 ,1 ,2 ,1 ,1 ,F
3 ,4 ,3 ,4 ,2 ,F
7 ,9 ,7 ,8 ,9 ,C
12 ,13 ,12 ,14 ,2 ,B
9 ,8 ,13 ,8 ,11 ,C
7 ,9 ,7 ,8 ,9 ,C
12 ,13 ,12 ,14 ,2 ,B
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
9 ,8 ,13 ,8 ,11 ,C
7 ,9 ,12 ,7 ,13 ,C
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
16 ,14 ,12 ,15 ,13 ,A
9 ,7 ,12 ,11 ,12 ,B
5 ,4 ,7 ,6 ,6 ,F
12 ,12 ,15 ,13 ,14 ,A
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
16 ,14 ,12 ,15 ,13 ,A
9 ,7 ,12 ,11 ,12 ,B
4 ,3 ,4 ,5 ,4 ,F
9 ,7 ,8 ,7 ,9 ,C
1 ,1 ,2 ,1 ,1 ,F
3 ,4 ,3 ,4 ,2 ,F
7 ,8 ,7 ,7 ,8 ,D
2 ,3 ,2 ,2 ,3 ,F
4 ,3 ,4 ,5 ,4 ,F
9 ,7 ,8 ,7 ,9 ,C
1 ,1 ,2 ,1 ,1 ,F
3 ,4 ,3 ,4 ,2 ,F
7 ,9 ,7 ,8 ,9 ,C
12 ,13 ,12 ,14 ,2 ,B
9 ,12 ,10 ,13 ,12 ,B
7 ,9 ,7 ,8 ,9 ,C
12 ,13 ,12 ,14 ,2 ,B
9 ,8 ,13 ,8 ,11 ,C
7 ,9 ,7 ,8 ,9 ,C
12 ,13 ,12 ,14 ,2 ,B
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
9 ,8 ,13 ,8 ,11 ,C
7 ,9 ,12 ,7 ,13 ,C
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
9 ,8 ,13 ,8 ,11 ,C
7 ,9 ,12 ,7 ,13 ,C
9 ,12 ,10 ,13 ,12 ,B
15 ,18 ,16 ,15 ,14 ,A
